01,0101,SOUTH ANDAMAN
01,0102,NICOBARS
01,0103,NORTH AND MIDDLE ANDAMAN
02,0201,SRIKAKULAM
02,0202,VIZIANAGARAM
02,0203,VISAKHAPATANAM
02,0204,EAST GODAVARI
02,0205,WEST GODAVARI
02,0206,KRISHNA
02,0207,GUNTUR
02,0208,PRAKASAM
02,0209,NELLORE
02,0210,CHITTOOR
02,0211,CUDDAPAH
02,0212,ANANTAPUR
02,0213,KURNOOL
03,0301,TAWANG
03,0302,WEST KAMENG
03,0303,EAST KAMENG
03,0304,LOWER SUBANSIRI
03,0305,UPPER SUBANSIRI
03,0306,WEST SIANG
03,0307,EAST SIANG
03,0309,LOHIT
03,0310,CHANGLANG
03,0311,TIRAP
03,0312,PAPUM PARE
03,0313,UPPER SIANG
03,0314,LOWER DIBANG VALLEY
03,0315,UPPER DIBANG VALLEY
03,0316,KURUNG KUMEY
03,0317,ANJAW
04,0401,DHUBRI
04,0402,KOKRAJHAR
04,0403,BONGAIGAON
04,0404,GOALPARA
04,0405,BARPETA
04,0406,NALBARI
04,0407,KAMRUP
04,0408,DARRANG
04,0409,SONITPUR
04,0410,LAKHIMPUR
04,0411,DHEMAJI
04,0412,Morigaon
04,0413,NAGAON
04,0414,GOLAGHAT
04,0415,JORHAT
04,0416,SIVASAGAR
04,0417,DIBRUGARH
04,0418,TINSUKIA
04,0419,KARBI ANGLONG
04,0420,Dima Hasao
04,0421,KARIMGANJ
04,0422,HAILAKANDI
04,0423,CACHAR
04,0424,BAKSA
04,0425,CHIRANG
04,0426,KAMRUP (METRO)
04,0427,UDALGURI
05,0501,PATNA
05,0502,NALANDA
05,0503,BHOJPUR
05,0504,ROHTAS
05,0505,AURANAGABAD
05,0506,JEHANABAD
05,0507,GAYA
05,0508,NAWADA
05,0509,SARAN
05,0510,SIWAN
05,0511,GOPALGANJ
05,0512,PASHCHIM CHAMPARAN
05,0513,PURBI CHAMPARAN
05,0514,SITAMARHI
05,0515,MUZAFFARPUR
05,0516,VAISHALI
05,0517,BEGUSARAI
05,0518,SAMASTIPUR
05,0519,DARBHANGA
05,0520,MADHUBANI
05,0521,SAHARSA
05,0522,MADHEPURA
05,0523,PURNIA
05,0524,KATIHAR
05,0525,KHAGARIA
05,0526,MUNGER
05,0527,BHAGALPUR
05,0541,ARARIA
05,0542,KISHANGANJ
05,0543,SHEOHAR
05,0544,SUPAUL
05,0545,BANKA 
05,0546,LAKHISARAI
05,0547,Sheikhpura 
05,0548,BUXAR 
05,0549,KAIMUR (BHABUA)
05,0550,JAMUI
05,0551,ARWAL
06,0601,CHANDIGARH
07,0701,DADRA AND NAGAR HAVELI
08,0801,DAMAN
08,0802,DIU
10,1001,NORTH GOA
10,1002,SOUTH GOA
11,1101,JAMNAGAR
11,1102,RAJKOT
11,1103,SURENDRANAGAR
11,1104,BHAVNAGAR
11,1105,AMRELI
11,1106,JUNAGADH
11,1107,KACHCHH
